"Basic","Middle","Final"
"Other","Chemical","Rubber"
"Other","Chemical","Skukery"
"Other","Chemical","Petroleum"
"Other","Chemical","Medicinal"
"Other","Chemical","Salty"
"Other","Chemical","Bitter"
"Other","Papery/ Musty","Phenolic"
"Other","Papery/ Musty","Meaty/ Brothy"
"Other","Papery/ Musty","Animalic"
"Other","Papery/ Musty","Musty/ Dusty"
"Other","Papery/ Musty","Moldy/ Damp"
"Other","Papery/ Musty","Woody"
"Other","Papery/ Musty","Papery"
"Other","Papery/ Musty","Cardboard"
"Other","Papery/ Musty","Stale"
"Green/ Vegetative","Beany"
"Green/ Vegetative","Green/ Vegetative","Herbaceous"
"Green/ Vegetative","Green/ Vegetative","Hay"
"Green/ Vegetative","Green/ Vegetative","Vegetable"
"Green/ Vegetative","Green/ Vegetative","Dark Green"
"Green/ Vegetative","Green/ Vegetative","Fresh"
"Green/ Vegetative","Green/ Vegetative","Peaood"
"Green/ Vegetative","Green/ Vegetative","Under-ripe"
"Green/ Vegetative","Raw",""
"Green/ Vegetative","Olive Oil",
"Sour/ Fermented","Alcohol/Fermented","Winey"
"Sour/ Fermented","Alcohol/Fermented","Whiskey"
"Sour/ Fermented","Alcohol/Fermented","Fermented"
"Sour/ Fermented","Alcohol/Fermented","Over-ripe"
"Sour/ Fermented","Acid","Malic Acid"
"Sour/ Fermented","Acid","Isovaleric Acid"
"Sour/ Fermented","Acid","Butiric Acid"
"Sour/ Fermented","Acid","Acetic Acid"
"Sour/ Fermented","Acid","Sour Aromatics"
"Sour/ Fermented","Acid","Citric Acid"
"Toasted","Pipe Tobaco",""
"Toasted","Tobaco",""
"Toasted","Burnt","Brown/ Toasted"
"Toasted","Burnt","Smoke"
"Toasted","Burnt","Ashes"
"Toasted","Burnt","Acrid"
"Toasted","Cereal","Malt"
"Toasted","Cereal","Grain"
"Spices","Pungent",""
"Spices","Pepper",""
"Spices","Brown Spices","Anise"
"Spices","Brown Spices","Nutmeg"
"Spices","Brown Spices","Cinnamon"
"Spices","Brown Spices","Clove"
"Nutty/ Cocoa","Nutty","Peanut"
"Nutty/ Cocoa","Nutty","Hazelnut"
"Nutty/ Cocoa","Nutty","Almond"
"Nutty/ Cocoa","Cocoa","Chocolate"
"Nutty/ Cocoa","Cocoa","Dark Chocolate"
"Sweet","Brown Sugar","Molasses"
"Sweet","Brown Sugar","Mapple Sirup"
"Sweet","Brown Sugar","Caramelized"
"Sweet","Brown Sugar","Honey"
"Sweet","Vanilla",""
"Sweet","Vanillaey",""
"Sweet","Sweet",""
"Sweet","Sweet Aromatics",""
"Floral","Black Tea",""
"Floral","Floral","Chamomile"
"Floral","Floral","Rose"
"Floral","Floral","Jazmine"
"Frutty","Berries","Blackberry"
"Frutty","Berries","Raspberry"
"Frutty","Berries","Blueberry"
"Frutty","Berries","Strawberry"
"Frutty","Dried Fruit","Rasin"
"Frutty","Dried Fruit","Prune"
"Frutty","Other Fruit","Coconut"
"Frutty","Other Fruit","Cheery"
"Frutty","Other Fruit","Pomegranate"
"Frutty","Other Fruit","Grape"
"Frutty","Other Fruit","Apple"
"Frutty","Other Fruit","Pineapple"
"Frutty","Other Fruit","Pear"
"Frutty","Other Fruit","Peach"
"Frutty","Citrics","Grapefruit"
"Frutty","Citrics","Orange"
"Frutty","Citrics","Lemon"
"Frutty","Citrics","Lime"
